Mac ID,Customer,DeviceName,Model,Firmware,SPO2,BVP,LoggedUser,OperatorName,Time,Success/Failure,Error Code,Error Description
087cbe92dcbb,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:22:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e697,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:24:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92dd2a,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:22:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe93907d,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:23:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe8f7b46,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:23:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe91d71d,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:23:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe939084,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:23:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92db0f,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:24:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe939068,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:24:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92dc8d,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:24:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe91d7fa,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:25:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92db0a,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:25:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe93920c,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:25:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e7bd,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:25:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e66c,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:26:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe000001,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:26:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe938f6b,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:26:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92dbbf,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:26:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92dbbb,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:26:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe93908f,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:27:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92dd71,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:27:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe938e50,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:27:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92d974,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:27:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e681,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:28:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e7e3,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:28:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e892,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:28:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92dba4,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:28:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
